"handle","field","locale","value"
"brass","blurb","nl","Berthold Bilukidi is een veelzijdige tekenaar, stylist en modeontwerper die zijn artistieke visie krachtig en uniek tot uiting brengt."
"brass","bio","nl","Berthold Bilukidi is een veelzijdige tekenaar, stylist en modeontwerper die zijn artistieke visie krachtig en uniek tot uiting brengt. In slechts vijf letters schetst hij de essentie van zijn creatieve wereld: BRASS, wat staat voor ""Be.Real.Artist.Sweet.Style"". Deze krachtige slogan is meer dan een motto – het is een levensfilosofie die zoveel zegt als: ""Wees een kunstenaar en heb stijl."" Het BRASS-universum ontstond door een intrigerende mix van verschillende invloeden, zoals tekenen, de straatcultuur, graffiti, schilderkunst, filosofie en kunstgeschiedenis. Voor Berthold Bilukidi was het schilderen op T-shirts zijn eerste manier om deze uiteenlopende elementen samen te brengen. Dit was zijn manier om kunst en mode te versmelten, een zoektocht naar creatieve vrijheid die tegelijkertijd expressief en stijlvol was.

Vandaag de dag combineert Berthold Bilukidi deze rijke mengeling van invloeden met een verfijnde, eigentijdse stijl die perfect tot zijn recht komt in de producten van Art Decoris. Elk stuk weerspiegelt zijn passie voor kunst en mode, waarbij hij de grenzen tussen verschillende disciplines vervaagt en de wereld uitnodigt om zijn unieke visie te ervaren. Door zijn werk brengt hij kunst naar een breder publiek, met producten die niet alleen esthetisch aantrekkelijk zijn, maar ook een diepere betekenis dragen."
"brass","name","en","B.R.A.S.S."
"brass","blurb","en","Berthold Bilukidi is a versatile illustrator, stylist, and fashion designer who brings his artistic vision to life in a bold and unique way."
"brass","bio","en","Berthold Bilukidi is a versatile illustrator, stylist, and fashion designer who brings his artistic vision to life in a bold and unique way. In just five letters, he captures the essence of his creative world: BRASS, which stands for ""Be.Real.Artist.Sweet.Style."" This powerful slogan is more than a motto – it’s a philosophy that says: ""Be an artist and have style.""

The BRASS universe emerged from a fascinating mix of influences, including drawing, street culture, graffiti, painting, philosophy, and art history. For Berthold Bilukidi, painting on T-shirts was his first medium for combining these diverse elements. It was his way of merging art and fashion, a quest for creative freedom that is both expressive and stylish.

Today, Berthold Bilukidi blends these rich influences with a refined, contemporary style that is perfectly embodied in the products of Art Decoris. Each piece reflects his passion for art and fashion, blurring the lines between different disciplines and inviting the world to experience his unique vision. Through his work, he brings art to a wider audience, with products that are not only aesthetically pleasing but also carry deeper meaning."
"brass","name","fr","B.R.A.S.S."
"brass","blurb","fr","Berthold Bilukidi est un illustrateur, styliste et créateur de mode polyvalent qui donne vie à sa vision artistique de manière audacieuse et unique."
"brass","bio","fr","Berthold Bilukidi est un illustrateur, styliste et créateur de mode polyvalent qui donne vie à sa vision artistique de manière audacieuse et unique. En seulement cinq lettres, il capture l'essence de son univers créatif : BRASS, qui signifie ""Be.Real.Artist.Sweet.Style."" Ce slogan puissant est plus qu'une devise, c'est une philosophie qui dit : ""Soyez un artiste et ayez du style."" L'univers de BRASS est né d'un mélange fascinant d'influences, incluant le dessin, la culture urbaine, le graffiti, la peinture, la philosophie et l'histoire de l'art. Pour Berthold Bilukidi, peindre sur des t-shirts a été son premier moyen de combiner ces éléments variés. C'était sa façon de fusionner l'art et la mode, une quête de liberté créative à la fois expressive et élégante. ​

Aujourd'hui, Berthold Bilukidi mêle ces influences riches à un style contemporain raffiné, parfaitement incarné dans les produits d'Art Decoris. Chaque pièce reflète sa passion pour l'art et la mode, floutant les frontières entre différentes disciplines et invitant le monde à découvrir sa vision unique. À travers son travail, il apporte l'art à un public plus large, avec des produits qui ne sont pas seulement esthétiquement agréables, mais qui portent également une signification plus profonde."
"juan-de-lascurain","name","nl","Juan de Lascurain"
"juan-de-lascurain","blurb","nl","Het lifestylemerk is synoniem geworden met originaliteit en artistieke innovatie."
"juan-de-lascurain","bio","nl","Het lifestylemerk is synoniem geworden met originaliteit en artistieke innovatie. Opgericht in 2004 door de visionaire Mexicaanse ontwerper Juan de Lascurain, is het merk uitgegroeid tot een wereldwijd icoon dat dromen en creativiteit viert. Elke collectie is zorgvuldig samengesteld en gebaseerd op de unieke ontwerpen en creatieve inzichten van Juan zelf. Juan's reis begon met een sprong in het diepe. Ondanks dat velen hem voor gek verklaarden, besloot hij zijn passie voor kunst te volgen. Financiële tegenslagen en momenten van onzekerheid weerhielden hem niet. Toen het geld opraakte, vond hij een creatieve oplossing: hij begon notitieboekjes met zijn ontwerpen te verkopen bij een lokale Starbucks in Mexico-Stad. Dit eenvoudige maar gedurfde idee was de start van iets groots.

Zijn unieke stijl bleef niet onopgemerkt. Al snel trok hij de aandacht van grote merken en organisaties over de hele wereld. Vandaag de dag werkt hij samen met iconische namen zoals Kleenex, Kotex, de Burj Khalifa, Hilton Hotels, Nobu Hotels, de Homeless World Cup Foundation en zelfs het Witte Huis.

De filosofie van Juan de Lascurain vormt het hart van het merk: ""Het maakt niet uit waar je vandaan komt, of hoeveel geld je hebt; als je geloof hebt, een droom, en hard werkt, kun je alles bereiken."" Met deze visie inspireert hij niet alleen klanten, maar ook een nieuwe generatie creatieve denkers."
"juan-de-lascurain","name","en","Juan de Lascurain"
"juan-de-lascurain","blurb","en","The lifestyle brand has become synonymous with originality and artistic innovation."
"juan-de-lascurain","bio","en","The lifestyle brand has become synonymous with originality and artistic innovation. Founded in 2004 by visionary Mexican designer Juan de Lascurain, the brand has grown into a global icon that celebrates dreams and creativity. Each collection is carefully curated based on Juan's unique designs and creative insights.

Juan's journey began with a leap of faith. Despite being told by many that he was crazy, he decided to follow his passion for art. Financial setbacks and moments of uncertainty didn’t stop him. When money ran out, he found a creative solution: he started selling notebooks featuring his designs at a local Starbucks in Mexico City. This simple yet bold idea was the start of something big.

His unique style quickly caught the attention of major brands and organizations around the world. Today, he collaborates with iconic names like Kleenex, Kotex, the Burj Khalifa, Hilton Hotels, Nobu Hotels, the Homeless World Cup Foundation, and even the White House.

Juan de Lascurain’s philosophy is at the heart of the brand: ""It doesn’t matter where you come from, or how much money you have; if you have faith, a dream, and work hard, you can achieve anything."" With this vision, he inspires not only customers but also a new generation of creative thinkers."
"juan-de-lascurain","name","fr","Juan de Lascurain"
"juan-de-lascurain","blurb","fr","La marque lifestyle est devenue synonyme d'originalité et d'innovation artistique."
"juan-de-lascurain","bio","fr","La marque lifestyle est devenue synonyme d'originalité et d'innovation artistique. Fondée en 2004 par le designer mexicain visionnaire Juan de Lascurain, la marque est devenue une icône mondiale qui célèbre les rêves et la créativité. Chaque collection est soigneusement sélectionnée en fonction des designs uniques et des idées créatives de Juan. Le parcours de Juan a commencé par un saut dans l'inconnu. Malgré les nombreuses personnes qui lui disaient qu'il était fou, il a décidé de suivre sa passion pour l'art. Les revers financiers et les moments d'incertitude ne l'ont pas arrêté. Lorsque l'argent a manqué, il a trouvé une solution créative : il a commencé à vendre des carnets présentant ses dessins dans un Starbucks local à Mexico. Cette idée simple mais audacieuse a marqué le début de quelque chose de grand.

Son style unique a rapidement attiré l'attention de grandes marques et organisations à travers le monde. Aujourd'hui, il collabore avec des noms iconiques tels que Kleenex, Kotex, le Burj Khalifa, Hilton Hotels, Nobu Hotels, la Homeless World Cup Foundation, et même la Maison Blanche.

La philosophie de Juan de Lascurain est au cœur de la marque : ""Peu importe d'où vous venez, ou combien d'argent vous avez ; si vous avez foi, un rêve et travaillez dur, vous pouvez accomplir n'importe quoi."" Avec cette vision, il inspire non seulement ses clients, mais aussi une nouvelle génération de penseurs créatifs."
